ID,Slug,Name,"Date Created",Author,Description,Excerpt,Status,Categories,Tags,Price,Files,"File Download Limit","Featured Image",SKU,Notes,Sales,Earnings
268593,zombie-bunny-2,"Zombie Bunny 2","2019-11-24 09:22:26",13,"YouthMin.org presents the NEW season of Zombie Bunny! This is a post-apocalypse Easter game that will have everyone on their toes. Everyone gets to decide their fate by moving around in the room in this interactive Easter game.",,publish,Games,"apocalypse | bunny | easter | Halloween | survival game | Zombie | zombies",6,https://s3.amazonaws.com/YouthMin/Jonathan+Holmes/Zombie_Bunny_2.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/11/Zombie-Bunny.jpg,,,0,0
37574,zombie-attack-2,"Zombie Attack","2019-01-11 02:24:12",74,"Here's a great image that you can use to promote a Zombie event, turn into a sermon series graphic, or whatever you want! You get the design files in a photoshop format with this download.",,draft,Events,,4,https://s3.amazonaws.com/YouthMin/Ben/Events/zombie+attack.psd,-1,,,,0,0
30510,zombie-attack,"Zombie Attack","2019-01-11 02:23:37",74,"Here's a great image that you can use to promote a Zombie event, turn into a sermon series graphic, or whatever you want! You get the design files in a photoshop format with this download.",,draft,,,3.00,https://s3.amazonaws.com/YouthMin/Ben/Events/zombie+attack.psd,-1,,,,0,0
159943,youth-pastor-resume-template-2,"Youth Pastor Resume Template","2019-01-11 02:33:19",74,"Searching for a new ministry? Let this Youth Pastor Resume template help make you look good!

This download contains a fully editable .psd file, you can change the fonts, change the colors, and make it unique to you using this as a great building block, or you can just simply insert your information in the spaces provided and send it away!

Don't make it easy for churches to look over you by having a forgettable resume, grab this one and stand out!",,draft,"Admin Tools",,10.00,https://s3.amazonaws.com/YouthMin/Ben/Administration/Modern_Resume.zip,-1,,,,0,0
37606,youth-pastor-resume-template,"Youth Pastor Resume template","2019-01-11 02:24:16",74,"Searching for a new ministry? Let this Youth Pastor Resume template help make you look good!

This download contains a fully editable .psd file, you can change the fonts, change the colors, and make it unique to you using this as a great building block, or you can just simply insert your information in the spaces provided and send it away!

Don't make it easy for churches to look over you by having a forgettable resume, grab this one and stand out!",,pending,Uncategorized,,10.00,https://s3.amazonaws.com/YouthMin/Ben/Administration/ResumeTemplate.zip,-1,,,,0,0
120263,youth-pastor-business-card,"Youth Pastor Business Card","2019-01-11 02:30:17",2,"This clean and modern business card comes in an easy-to-edit psd file",,draft,Uncategorized,,5.00,https://s3.amazonaws.com/YouthMin/Chris+Nelson/Business+Card.zip,-1,,,,0,0
30539,youth-ministry-summer-calendar-ocean-theme,"Youth Ministry Summer Calendar | Ocean Theme","2019-01-11 02:23:43",74,"Just in time for getting the word out on your summer events, download this simple and easy to edit Summer Calendar! Prints as an 8.5' x 11' calendar that looks so good, it'll be easy for parents to place somewhere visible.",,draft,,,5.00,"https://s3.amazonaws.com/YouthMin/Ben/Calendars/Ocean+theme+Summer+Calendar.zip | https://s3.amazonaws.com/YouthMin/Ben/Calendars/PSElementsCalendard.zip",-1,,,,0,0
28881,youth-ministry-starter-package,"Youth Ministry Starter Package","2019-01-11 02:22:53",9,"Download this starter package for your youth ministry. It includes welcome slides, a calendar template, branding package, and small group starter resources.

&amp;nbsp;",,pending,,,10.00,https://s3.amazonaws.com/nickstore/Bundle.zip,-1,,,,0,0
27968,youth-ministry-promotional-business-card,"Youth Ministry promotional business card","2019-06-24 02:22:21",74,"The size of the average business card is the perfect size for quick invite cards for Youth Ministry events, services and more! This download contains the photoshop file to customize this great 3.5'x 2' business card that your students can share with friends, and though the example shown is for a High School Midweek service, you can change that to any event or service you want!","&lt;ul&gt;
 	&lt;li&gt;business card size&lt;/li&gt;
 	&lt;li&gt;photoshop editable&lt;/li&gt;
 	&lt;li&gt;word template for customizing&lt;/li&gt;
&lt;/ul&gt;",publish,,,5.00,https://s3.amazonaws.com/YouthMin/Ben/Branding/Midweek+announcement+card.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/01/midweek-youth-group-invite-card-template-download.jpg,,,0,0
30453,youth-ministry-postcard-calendar,"Youth Ministry Postcard Calendar","2019-06-01 02:23:04",74,"We wanted to have something that we could easily interchange events in order to mail out to students on a monthly basis, so this is one of the templates we came up with. It's a great 4x6 postcard that helps us get the word out about our upcoming series, studies, and hangouts in our Youth Ministry to students who are connected to our ministry, as well as those we haven't seen in a while.

This download contains photoshop files, which you will need (or something similar) in order to edit the postcard. Don't have photoshop but want to use this resource? Email us, and we can customize it for you for a crazy cheap price.",,publish,,,5.00,https://s3.amazonaws.com/YouthMin/Ben/Branding/PostcardCalendar.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/01/postcard-calendar-1.jpg,,,0,0
37632,youth-ministry-post-cards-we-miss-you-bundle,"Youth Ministry Post Cards - We Miss You Bundle","2019-02-11 02:24:21",74,"Grab this set of 3 postcards that are ready to go AND customizable. Included 3 editable postcards that you can fully customize and brand for your ministry!

These postcards work great as staples in for your Small Group Leaders to send to their students on a regular basis!",,publish,Uncategorized,,4.00,https://s3.amazonaws.com/YouthMin/Ben/Black+Friday+Bundle+2014/We_Miss_you_postcards.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/01/we-miss-you-postcards.jpg,,,0,0
41789,youth-ministry-informational-postcard,"Youth Ministry Informational Postcard","2019-01-11 02:24:41",74,"It's great to have a business card to hand out to quickly give important information to people you meet.

Sometimes, we wish we had something similar for our Student Ministries. This postcard sized handout is perfect for accomplishing that task. All the information a first time guest would want to know about what your church offers for students, wrapped in a beautiful package that this design has.

As Youth Pastors, one of the biggest things Parents want from us is to be able to trust us and for us to communicate to them. This card helps out in both those areas, as it contains clear and concise information in an organized way that shows you've put some thought into what you are doing with their students. Download this postcard and step up your youth ministry design game today!

*Download contains photoshop editable files only. Only free fonts used for easier accessibility.",,draft,Uncategorized,,5.00,https://s3.amazonaws.com/YouthMin/Ben/Branding/Polygon/PostCard.zip,-1,,,,0,0
30519,youth-ministry-half-page-flyer,"Youth Ministry half page flyer","2019-01-11 02:23:38",74,"This download is for a great flyer to promote your student ministry to the rest of your church. It's 5.5'x8.5', or half a sheet of paper, so it will fit perfect the average church bulletin.

This entire download is editable, from the icons, to the colors, and the text. We've updated this download to now include both a photoshop and word editable template! So no matter what software you use, you're set to use this template to create an awesome looking Youth Ministry flyer!

&amp;nbsp;

&amp;nbsp;",,draft,,,6.00,https://s3.amazonaws.com/YouthMin/Ben/Branding/HalfPage_Bulletin_Flyer.zip,-1,,,,0,0
30514,youth-ministry-event-information-card,"Youth Ministry Event information card","2019-04-20 02:23:38",74,"You know you have that huge event on your calendar a few months from now, but do your students and parents know about it? It's never too early to start promoting those far away events, and this save the date card is the perfect solution to get the word out with plenty of time.

You can fully customize everything on this card, change the font, change the color, change the text! It works great for Fall Retreat promotion, but it can be any event you want!",,publish,,,5.00,https://s3.amazonaws.com/YouthMin/Ben/Branding/Save+the+Date+Card.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/01/event-information-card-youth-ministry.jpg,,,0,0
37618,youth-ministry-event-evaluation-form,"Youth Ministry Event Evaluation Form","2019-01-11 02:24:16",74,"Here is a great free file to add to your administration tools. This great little card helps get feedback from parents, students, and leaders after en event, be it a large one like a summer camp, or a small group get together with a handful of attendees. Getting this feedback will be crucial to helping your future events run as smooth as possible and be as effective as they can be.

This download contains a front and back side of a card that is about 4.25' x 5.5', so you can fit four on a sheet (which we included in the download file). Everything is set in the image, including space to add your student ministry logo.",,pending,Uncategorized,,0.00,https://s3.amazonaws.com/YouthMin/Ben/Administration/Event_Evaluation_Form,-1,,,,0,0
37603,youth-ministry-event-brochure,"Youth Ministry Event Brochure","2019-01-11 02:24:15",74,"Download this fantastic Tri-fold brochure for your next big event! We've worked to make this extremely easy to edit and customize, no matter your level of expertise with photoshop or similar programs.

We used only free fonts so you can recreate this exact look, and made it extremely simple to use your own image in the center of the inside. The front cover image has easy-change colors, so you can use this for multiple events this coming year!",,publish,"Admin Tools",,5.00,https://s3.amazonaws.com/YouthMin/Ben/Events/Event+Brochure.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/01/Product_Image-10.jpg,,,0,0
30457,youth-ministry-connections-card,"Youth Ministry Connections Card","2019-07-01 02:23:04",74,"Use this simple card to help students connect with your student ministry! It's extremely helpful to hand out so students know how to subscribe to text message updates and where they can find you in the world of social media.

Everything in this card is fully customizable, but it's set up in an easy and simple way for anyone to be able to edit it for their group. We've made it to match the specifications that are standard for most print agencies so you can get it printed easily as well!

*Note: This download contains photoshop files. You will need Photoshop, or a similar program, in order to edit these files.",,publish,,,5.00,https://s3.amazonaws.com/YouthMin/Ben/Branding/ConnectionsCard.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/01/ministry-connections-card-download-template.jpg,,,0,0
58707,youth-ministry-christmas-cards,"Youth Ministry Christmas Cards","2019-01-11 02:25:58",2,"This year I am printing these and having my small group leaders put in a personal note on the other side of these cards. Your students will loves these. Three different options.&lt;strong&gt; You will need Photoshop or something similar to edit these.&nbsp;&lt;/strong&gt;Included is a photoshop elements version as well (You will not be able to edit these in Microsoft Word or Pages).

&lt;img class=&quot;alignnone size-medium wp-image-58715&quot; src=&quot;https://youthmin.local:8890/wp-content/uploads/edd/2015/11/mock-11-300x300.png&quot; alt=&quot;mock 1&quot; width=&quot;300&quot; height=&quot;300&quot; /&gt; &lt;img class=&quot;alignnone size-medium wp-image-58716&quot; src=&quot;https://youthmin.local:8890/wp-content/uploads/edd/2015/11/mock21-300x300.png&quot; alt=&quot;mock2&quot; width=&quot;300&quot; height=&quot;300&quot; /&gt; &lt;img class=&quot;alignnone size-medium wp-image-58717&quot; src=&quot;https://youthmin.local:8890/wp-content/uploads/edd/2015/11/mock31-300x300.png&quot; alt=&quot;mock3&quot; width=&quot;300&quot; height=&quot;300&quot; /&gt;",,draft,Uncategorized,,5.00,https://s3.amazonaws.com/YouthMin/Frank/Christmas+Cards/xmas+card.zip,-1,,,,0,0
27953,youth-ministry-calendar-spring-summer,"Youth Ministry Calendar (Spring Summer)","2019-01-11 02:22:05",64,"We hope that this Youth Group Calendar will help you get the word out about your upcoming events, regular programs, and youth group activities. This package contains lots of editable PSD files to help you create a killer

youth group calendar to share with your students, their parents, and your church family.&xi; This calendar is laid out in landscape format on 11x17 paper for easy use and the ability to print them in house if you choose to.&xi; Happy

calendar-ing!

This package includes:
&lt;ul&gt;
 	&lt;li&gt;Calendar templates for multiple months (PSD)&lt;/li&gt;
 	&lt;li&gt;11x17 Spring and Summer Calendar (PSD)&lt;/li&gt;
 	&lt;li&gt;JPEG of completed calendar for reference&lt;/li&gt;
 	&lt;li&gt;Event templates for use in the calendar (prayer service, service day, etc) (PSD)&lt;/li&gt;
&lt;/ul&gt;
&lt;em&gt;*Note: You are downloading photoshop files, and you will need photoshop or a similar alternative in order to edit these files. You will also need a working knowledge of Photoshop to edit it.&lt;/em&gt;",,publish,,,7.00,https://s3.amazonaws.com/YouthMin/Keith/SpringSummerCalendar.zip,-1,https://youthmin.local:8890/wp-content/uploads/2019/01/SpringSummerCal-KP-Main.jpg,,,0,0
